"source_transaction_id","coverage_code","limits","deductable","per_occurance","premium","created_date"
"472012161_256242515","17",1000000,,1000000,150.00,
"472012176_256242661","17",1000000,,1000000,150.00,
"472012177_256242675","17",3000000,,1000000,182.00,
"472012179_256242692","17",1000000,,1000000,150.00,
"472012180_256242708","17",1000000,,1000000,150.00,
"472012200_0","17",300000,,100000,150.00,
"472012203_256243308","17",1000000,,1000000,150.00,
"472012206_256242904","17",300000,,100000,150.00,
"472012209_0","17",1000000,,1000000,150.00,
"472012214_0","17",300000,,100000,150.00,
"472012259_256243230","17",300000,,100000,150.00,
"472012260_0","17",300000,,100000,150.00,
"472012264_256243311","17",1000000,,1000000,150.00,
"472012266_256243292","17",1000000,,1000000,150.00,
"472012269_256243339","17",1000000,,1000000,150.00,
"472012270_256243342","10",1000000,,1000000,150.00,
"472012275_256243356","17",300000,,100000,150.00,
"472012276_256243373","17",300000,,100000,150.00,
"472012277_256243387","17",300000,,100000,150.00,
"472012278_256243390","10",5000000,,1000000,200.00,
"472012294_256243471","10",5000000,,1000000,200.00,
"472012300_256243549","17",3000000,,1000000,182.00,
"472012343_256243874","17",300000,,100000,150.00,
"472012378_256244121","17",1000000,,1000000,150.00,
"472012429_256244314","17",1000000,,1000000,150.00,
"472012440_256244328","17",1000000,,1000000,150.00,
"472012444_256244393","17",1000000,,1000000,150.00,
"472012457_256244488","17",1000000,,1000000,150.00,
"472012468_256244538","17",1000000,,1000000,150.00,
"472012477_256244605","17",1000000,,1000000,150.00,
"472012481_256247195","17",3000000,,1000000,182.00,
"472012956_256248511","17",1000000,,1000000,150.00,
"472012962_256248556","17",1000000,,1000000,150.00,
"472012988_256248797","17",1000000,,1000000,150.00,
"472013264_256250422","17",1000000,,1000000,150.00,
"472013391_256251375","17",1000000,,1000000,150.00,
"472014963_0","10",300000,,100000,150.00,
"472014965_0","17",3000000,,1000000,182.00,
"472014969_0","17",3000000,,1000000,182.00,
"472015711_256263722","17",1000000,,1000000,150.00,
"472015985_256265454","10",3000000,,1000000,182.00,
"472016123_256266653","10",1000000,,1000000,150.00,
"472016128_256266698","10",300000,,100000,150.00,
"472017488_256291679","17",300000,,100000,150.00,
"472026807_256293450","17",300000,,100000,150.00,
"472026809_256293478","17",300000,,100000,150.00,
"472026810_256293481","17",300000,,100000,150.00,
"472026812_256293500","17",300000,,100000,150.00,
"472026814_256293528","17",300000,,100000,150.00,
"472026815_256293531","17",1000000,,1000000,150.00,
"472026816_256293545","17",300000,,100000,150.00,
"471695709_256192649","10",300000,,100000,150.00,
"471759066_256198970","17",300000,,100000,150.00,
"472011454_256240165","17",300000,,100000,150.00,
"451250000_127021955","17",1000000,,1000000,150.00,
"461550017_246235316","10",1000000,,1000000,150.00,
"461550037_246230228","10",1000000,,1000000,150.00,
"461550080_184954861","10",1000000,,1000000,150.00,
"461550145_184955573","10",1000000,,1000000,150.00,
"461550184_184953970","10",1000000,,1000000,150.00,
"461550216_184954326","10",1000000,,1000000,150.00,
"461550249_246230391","10",1000000,,1000000,150.00,
"461550262_246230536","17",1000000,,1000000,150.00,
"461550267_246255601","17",1000000,,1000000,150.00,
"461550268_246235350","17",1000000,,1000000,150.00,
"461550285_246230598","10",1000000,,1000000,150.00,
"461550367_246464918","17",1000000,,1000000,150.00,
"461550392_246230925","17",1000000,,1000000,150.00,
"461550394_246230939","10",1000000,,1000000,150.00,
"461550399_246230973","10",1000000,,1000000,150.00,
"461550400_246299744","10",1000000,,1000000,150.00,
"461550404_246265366","17",1000000,,1000000,150.00,
"461550518_246231282","10",1000000,,1000000,150.00,
"461550524_246231346","10",1000000,,1000000,150.00,
"461550526_246231377","10",1000000,,1000000,150.00,
"461550532_246231444","17",1000000,,1000000,150.00,
"461550546_246231637","10",1000000,,1000000,150.00,
"461550548_246231640","10",1000000,,1000000,150.00,
"461550554_246231721","10",1000000,,1000000,150.00,
"461550572_246232545","17",1000000,,1000000,150.00,
"461550583_246263004","10",1000000,,1000000,150.00,
"461550593_246232318","10",1000000,,1000000,150.00,
"461550626_246232593","10",1000000,,1000000,150.00,
"461550650_246232917","10",1000000,,1000000,150.00,
"461550726_246233727","10",1000000,,1000000,150.00,
"461550749_246439971","10",1000000,,1000000,150.00,
"461550764_246234246","10",1000000,,1000000,150.00,
"461550776_184956903","10",1000000,,1000000,150.00,
"461550783_184956979","10",1000000,,1000000,150.00,
"461550840_184956609","10",1000000,,1000000,150.00,
"461550858_184956805","17",1000000,,1000000,150.00,
"461550859_184956819","17",1000000,,1000000,150.00,
"461550860_184956822","10",1000000,,1000000,150.00,
"461550870_184955993","10",1000000,,1000000,150.00,
"461550872_184956027","10",1000000,,1000000,150.00,
"461550879_184956092","10",1000000,,1000000,150.00,
"461550892_246234375","10",1000000,,1000000,150.00,
"461550927_246449545","30",1000000,,1000000,150.00,
"461550941_246253699","10",1000000,,1000000,150.00,
"461550943_246234747","10",1000000,,1000000,150.00,
"461550946_246234781","10",1000000,,1000000,150.00,
"461550953_246234831","10",1000000,,1000000,150.00,
"461550957_246246140","10",1000000,,1000000,150.00,
"461550958_246234912","17",1000000,,1000000,150.00,
"461550988_246285648","10",1000000,,1000000,150.00,
"461551010_246363412","17",1000000,,1000000,150.00,
"472026817_256293559","17",300000,,100000,150.00,
"472026819_256293576","17",300000,,100000,150.00,
"472026822_256293612","17",300000,,100000,150.00,
"472026969_256294677","10",300000,,100000,150.00,
"472026975_256294713","10",1000000,,1000000,150.00,
"472026981_256294775","10",300000,,100000,150.00,
"472027877_256302728","17",1000000,,1000000,150.00,
"472027896_256302793","10",5000000,,1000000,200.00,
"472028070_256304575","17",500000,,100000,150.00,
"472030074_256386565","17",300000,,100000,150.00,
"472030396_256323692","10",3000000,,1000000,182.00,
"472030419_0","10",3000000,,1000000,182.00,
"472031648_0","10",1000000,,1000000,150.00,
"472033349_0","10",3000000,,1000000,182.00,
